rel_type,from_node,to_node
IDENTIFIE,Integration Team,Nexus Sprint Goal
HELD_AT,Nexus Sprint Review,End Of The Sprint
PROVIDE_FEEDBACK_ON,Nexus Sprint Review,Determine Future Adaptations
ADAPTS_TO,Current Sprint,Remaining Work
RE_PLAN,Current Sprint,Planned Work
COLLABORATE_ON_FEEDBACK,Attendees,Nexus
ALLOWED_TO_ADJUST,Nexus Scrum Teams,Adjustment Plan
TOWARD,Yassir,Nexus Sprint Goal
MAY_BE_ADJUST,Yassir,Product Backlog
ACHIEV,Yassir,Nexus Sprint Review
INCREASE_QUALITY_AND_EFF,Nexus Sprint Retrospective,Planning Ways To Increase Quality And Effectiveness
IMPROVE_INDIVIDUALLY,Individual Team,Nexus
INSPECT_HOW_IT_WENT,Last Sprint,"Inspect How It Went With Regards To Individuals, Teams, Interactions, Processes, Tools, And Its Definition Of Done"
DESCRIBED_IN,Legalcode At Http://Creativecommons.Org/Licenses/By Sa/4.0/Legalcode,Summary Form At Http://Creativecommons.Org/Licenses/By Sa/4.0/
ACCESSIBLE_AT,Attribution Share Alike License Of Creative Commons,Legalcode At Http://Creativecommons.Org/Licenses/By Sa/4.0/Legalcode
CONTAINS,Nexus Artifacts,Commitments In Nexus Artifacts
OFFERS_FOR_LICENSE_UNDER,Scrum.Org,Attribution Share Alike License Of Creative Commons
ACHIEVE_THROUGH_ITERATIVE_PROGRESS,Continuous Improvement,Iterative Progress
DELIVER_IN_SUSTAINABLE_MANNER,Agile,Working Software
PREDICATE," Format: (Subject",Object
INVOLVES,Scrum Software Development Process,Agile Methodology
INVOLVES,Scrum Software Development Process,Strategic Goal
USES,Scrum Software Development Process,Agile Methodology
HELPS_UNDERSTAND_CURRENT_STATE_AND_GOAL,Scrum Software Development Process,Key Value Areas
WORKS_ON,Development Team,Scrum Project
WORKS_ON,Development Team,Working Software
WORKS_ON,Development Team,Quality Assurance Team
DELIVERS,Development Team,Working Software
REPORTS_TO,Development Team,Scrum Master
DEVELOP,Development Team,Software
LED_BY,Development Team,Project Manager
DECOMPOSE,Development Team,Decomposed Product Backlog
HAS_DEPENDENCY_TRANSPARENCY,Development Team,Product Backlog Item
IS_DEV_TEAM,Development Team,Scrum Master
USES,Project Manager,Agile Development
GOVERNED_BY,Rules Guide Relationships And Interactions,Scrum Framework
CHARACTERIZED_BY,Collective Intelligence,Scrum Framework
INVOLVES,Purposefully Incomplete,Scrum Framework
HAS_SPRINT,Product Backlog,Sprint
INCLUDES,Product Backlog,Sprint Backlog
INCLUDES_INCREMENT,Product Backlog,Increment Of Value
ACCOUNTABLE_FOR,Product Backlog,Product Owner
PART_OF,Sprint,Four Formal Events For Inspection And Adaptation
PRODUCES_INCREMENT,Sprint,Increment Of Value
INVOLVES_PROCESS,Sprint,Inspect And Adjust
IS_TYPE_OF,Sprint,Four Formal Events For Inspection And Adaptation
INCREASE,Sprint,Increment
MANAGES,Scrum Team,Product Backlog
WORKS_ON,Scrum Team,Sprint
WORKS_ON,Scrum Team,Turn Work Into Increment
RELATED_TO,Scrum Team,Product Goal
PART_OF,Scrum Team,Integrated Increment
INVOLVES,Scrum Team,Processes And Workflows
HAS_FOCU,Scrum Team,Focus
IS_SELF_MANAG,Scrum Team,Self Managing Team
IS_CROSS_FUNCTIONAL,Scrum Team,Cross Functional Team
INVOLVED_IN,Scrum Team,Cross Team Refinement
RESPONSIBLE_FOR,Scrum Team,Product Related Activities
IS_RESPONSIBLE_FOR,Scrum Team,Internal Decision Making
INCLUDES,Scrum Team,Product Owner
REFINE,Scrum Team,Cross Team Refinement
